cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Doublet 0,0	Doublet 0,1	Doublet 0,2	Doublet 0,3	Doublet 0,4	Doublet 0,5	Doublet 1,1	Doublet 1,2	Doublet 1,3	Doublet 1,4	Doublet 1,5	Doublet 2,2	Doublet 2,3	Doublet 2,4	Doublet 2,5	Doublet 3,3	Doublet 3,4	Doublet 3,5	Doublet 4,4	Doublet 4,5	Doublet 5,5
0	1.60014e-11	0.0912958	0.280175	0.210476	0.0015303	0.354349	1.10289e-13	0.00125851	0.00303409	0.00290141	0.00204994	0.00383734	0.000254682	0.000239566	0.00022909	0.000829685	0.000302989	0.00832056	0.000552304	0.000390221	0.0210467	0.000264076	0.000373157	0.000698522	5.70979e-06	0.000493528	0.015092
1	4.53796e-19	4.55015e-05	0.750398	4.01106e-05	5.91253e-12	0.191614	3.12778e-21	6.27237e-07	0.00858792	5.52924e-07	3.10883e-07	0.00219292	1.26933e-07	0.00177339	1.14178e-07	1.25826e-07	0.000452834	0.0222852	0.00156328	0.000878962	0.011381	5.03251e-08	5.65909e-08	0.000399184	2.20606e-14	0.000224442	0.00816099
2	3.39304e-31	4.48298e-08	0.158733	7.13231e-07	4.76702e-13	0.739949	2.33865e-33	6.17978e-10	0.00310992	9.83188e-09	3.8384e-10	0.0144972	1.25059e-10	3.55824e-05	1.12492e-10	1.55354e-10	0.000165871	0.00471401	0.000566108	2.2101e-05	0.0439496	8.94863e-10	6.98715e-11	0.00263897	1.77865e-15	0.000103026	0.031515
3	0.992248	0.000174811	0.000301353	0.000261183	1.5005e-13	0.000131518	0.00683906	2.40977e-06	7.82016e-06	3.6004e-06	9.93224e-08	3.4129e-06	4.87661e-07	9.52775e-07	4.38658e-07	4.01994e-08	4.15813e-07	8.94952e-06	1.42353e-06	3.92701e-08	7.81156e-06	3.27696e-07	1.80799e-08	6.21259e-07	5.59859e-16	1.71384e-08	5.60144e-06
4	3.32833e-22	5.21128e-05	0.218361	0.000808518	6.48513e-14	0.697287	2.29405e-24	7.18374e-07	0.00117288	1.11454e-05	9.52342e-08	0.00374532	1.45376e-07	1.37612e-05	1.30768e-07	3.85447e-08	4.39434e-05	0.00648484	0.000213503	1.82432e-06	0.0414157	1.01441e-06	1.73357e-08	0.000681772	2.41971e-16	5.82554e-06	0.029698
5	0.991385	0.000130726	0.000152428	0.000301379	1.51572e-14	0.00103045	0.00683311	1.80205e-06	4.91918e-06	4.15451e-06	6.21373e-07	3.32549e-05	3.64677e-07	3.88409e-07	3.28032e-07	2.51492e-07	2.62574e-06	4.52678e-06	8.95452e-07	1.33929e-07	6.12043e-05	3.78128e-07	1.1311e-07	6.05348e-06	5.65539e-17	9.05394e-07	4.38878e-05
6	5.60868e-20	3.31929e-06	0.553641	2.26569e-05	1.71444e-15	0.381678	3.86578e-22	4.57564e-08	0.00451808	3.12325e-07	1.38513e-08	0.00311475	9.25963e-09	0.000120489	8.32916e-09	5.60612e-09	8.30648e-05	0.0164419	0.000822439	3.64743e-05	0.0226699	2.84267e-08	2.52139e-09	0.000566986	6.39686e-18	2.51452e-05	0.016256
7	0.992674	1.69309e-05	0.000132666	0.000263368	1.3901e-18	5.21184e-05	0.006842	2.33393e-07	3.11969e-06	3.63052e-06	4.1779e-08	1.22558e-06	4.72312e-08	3.65074e-08	4.24851e-08	1.69095e-08	1.4342e-08	3.93989e-06	5.67887e-07	6.53509e-09	3.0956e-06	3.30437e-07	7.60515e-09	2.23096e-07	5.1867e-21	2.56733e-09	2.21976e-06
8	6.11774e-13	1.54885e-05	0.0470792	0.000246192	2.47447e-17	0.843385	4.21665e-15	2.13509e-07	0.000968276	3.39376e-06	1.00122e-09	0.0173458	4.32073e-08	1.10888e-05	3.88656e-08	4.0523e-10	0.000198646	0.00139815	0.000176258	5.19992e-08	0.0500933	3.08888e-07	1.82255e-10	0.00315751	9.23266e-20	9.31522e-07	0.0359204
9	6.75892e-23	1.81802e-05	0.862302	0.000289521	1.23024e-19	0.0591221	4.65858e-25	2.50613e-07	0.0365449	3.99104e-06	1.09774e-08	0.00250563	5.07161e-08	0.000417728	4.56198e-08	4.44294e-09	2.86407e-05	0.0256084	0.00665237	1.82974e-05	0.00351159	3.6325e-07	1.99824e-09	0.000456107	4.59022e-22	1.25452e-06	0.00251806
10	0.990675	2.78416e-05	0.000705462	0.00044405	9.97241e-19	0.001144	0.00682822	3.83796e-07	9.92295e-06	6.12122e-06	3.12847e-12	1.60913e-05	7.76681e-08	1.13254e-07	6.98635e-08	1.2662e-12	1.83656e-07	2.09506e-05	1.8063e-06	9.23176e-13	6.79482e-05	5.57132e-07	5.69484e-13	2.92915e-06	3.72086e-21	1.49705e-12	4.87237e-05
11	0.984663	0.00786611	0.000112925	0.00026025	3.44485e-10	7.68202e-06	0.00678678	0.000108434	3.42169e-06	3.58754e-06	6.82073e-05	2.32768e-07	2.19436e-05	1.8826e-05	1.97386e-05	2.7606e-05	1.28069e-06	3.35363e-06	6.22859e-07	1.1842e-05	4.56278e-07	3.26525e-07	1.2416e-05	4.23715e-08	1.28533e-12	8.05578e-07	3.27184e-07
12	0.992707	1.87893e-05	0.000150335	0.000261069	1.73722e-34	6.63068e-06	0.00684222	2.5901e-07	3.03183e-06	3.59883e-06	4.18333e-07	1.33722e-07	5.24153e-08	3.972e-08	4.71482e-08	1.69315e-07	1.75189e-09	4.46461e-06	5.51893e-07	6.41528e-08	3.93832e-07	3.27553e-07	7.61504e-08	2.43418e-08	6.48185e-37	2.82952e-09	2.82406e-07
13	1.28393e-08	0.00854396	0.226519	0.0075317	1.57777e-11	0.667406	8.84947e-11	0.000117778	0.00260339	0.000103824	3.38804e-05	0.0076705	2.38346e-05	0.000537594	2.14395e-05	1.37126e-05	0.00158394	0.00672711	0.000473902	0.000154646	0.0396409	9.44971e-06	6.16735e-06	0.00139628	5.88691e-14	0.000455642	0.0284254
14	0.991571	0.000583854	0.000201521	0.000262592	3.63824e-11	0.000449313	0.0068344	8.04842e-06	5.56931e-06	3.61983e-06	5.63206e-07	1.24174e-05	1.62874e-06	2.2541e-06	1.46508e-06	2.2795e-07	5.02577e-06	5.98471e-06	1.0138e-06	1.57736e-07	2.66872e-05	3.29464e-07	1.02522e-07	2.26037e-06	1.35749e-13	3.51689e-07	1.91366e-05
15	0.000266937	0.00182403	0.417259	0.00806554	5.82369e-13	0.501766	1.83986e-06	2.51442e-05	0.00263171	0.000111183	5.50383e-07	0.0031647	5.08837e-06	0.000108339	4.57706e-06	2.2276e-07	0.000130281	0.0123916	0.000479057	2.37144e-06	0.0298026	1.01195e-05	1.00188e-07	0.00057608	2.17291e-15	2.85173e-06	0.0213706
16	1.72445e-37	0.26798	0.541154	0.120526	8.81475e-21	0.0155442	1.18858e-39	0.0036941	0.00980596	0.00166145	0.00527681	0.000281669	0.000747569	0.00396883	0.000672448	0.00213572	0.000114001	0.0160711	0.00178501	0.00566924	0.000923258	0.000151219	0.000960553	5.12729e-05	3.28893e-23	0.000162844	0.000662042
17	2.43176e-10	2.99588e-05	0.65565	1.34742e-05	1.11177e-10	0.283662	1.67609e-12	4.12981e-07	0.00486371	1.85741e-07	1.73718e-07	0.00210425	8.35742e-08	0.00196852	7.51761e-08	7.03101e-08	0.000851665	0.0194713	0.000885355	0.000828048	0.0168482	1.69055e-08	3.16224e-08	0.000383042	4.14819e-13	0.000358248	0.0120814
18	5.29326e-09	0.000155045	0.111532	6.97326e-05	1.31995e-05	0.791572	3.64838e-11	2.13729e-06	0.000979987	9.61262e-07	1.39135e-08	0.00695521	4.3252e-07	0.000396636	3.89058e-07	5.63132e-09	0.00281503	0.00331226	0.00017839	2.58206e-06	0.0470158	8.74907e-08	2.53272e-09	0.00126608	4.92495e-08	1.83255e-05	0.0337137
19	5.34388e-10	1.88231e-08	0.226276	2.77685e-07	8.10946e-20	0.684476	3.68327e-12	2.59476e-10	0.00262668	3.82789e-09	1.86017e-10	0.0079456	5.25097e-11	3.24112e-05	4.72331e-11	7.52877e-11	9.80425e-05	0.0067199	0.000478143	2.32354e-05	0.0406548	3.48401e-10	3.38612e-11	0.00144636	3.02577e-22	7.02861e-05	0.0291524
20	1.56488e-34	5.0424e-08	0.731949	5.84642e-07	1.03808e-20	0.217303	1.07859e-36	6.95093e-10	0.00440694	8.05928e-09	1.83047e-11	0.00130835	1.40665e-10	6.91885e-05	1.2653e-10	7.40856e-12	2.05409e-05	0.0217373	0.000802208	1.82202e-06	0.0129068	7.33527e-10	3.33205e-12	0.000238162	3.87325e-23	5.40925e-07	0.00925512
21	9.70556e-10	0.0234573	0.505395	0.364887	1.25664e-20	0.0706784	6.68955e-12	0.000323358	0.00453194	0.00502996	0.000711671	0.000633781	6.54373e-05	5.30337e-05	5.88618e-05	0.000288039	7.41665e-06	0.0150091	0.000824961	0.000116721	0.00419798	0.000457809	0.000129547	0.000115369	4.68871e-23	1.63231e-05	0.00301025
22	0.992456	1.69733e-05	0.000299953	0.000261667	6.19639e-16	9.47462e-05	0.00684049	2.33976e-07	4.73926e-06	3.60707e-06	1.15051e-08	1.49699e-06	4.73493e-08	5.596e-08	4.25913e-08	4.65652e-09	1.76761e-08	8.90792e-06	8.62701e-07	2.75166e-09	5.6275e-06	3.28302e-07	2.0943e-09	2.72502e-07	2.31197e-18	8.6917e-10	4.03532e-06
23	1.87573e-12	2.27975e-06	0.0734256	1.00807e-05	7.79264e-17	0.799346	1.29285e-14	3.14264e-08	0.00298648	1.38962e-07	1.94797e-09	0.0325122	6.35969e-09	0.000122944	5.72063e-09	7.88414e-10	0.00133842	0.00218058	0.000543637	7.62069e-06	0.0474776	1.26478e-08	3.54595e-10	0.00591829	2.90756e-19	8.29625e-05	0.0340448
24	1.81886e-23	0.000125963	0.0566439	0.00178418	0.006655	0.81156	1.25365e-25	1.73639e-06	0.00207587	2.45949e-05	2.98572e-06	0.0297418	3.5139e-07	2.66779e-05	3.1608e-07	1.20843e-06	0.000382226	0.0016822	0.000377877	4.58726e-05	0.048203	2.23854e-06	5.43498e-07	0.00541399	2.48309e-05	0.000657235	0.034565
25	1.07361e-19	7.08586e-05	0.443338	0.00016336	1.76597e-13	0.476048	7.39982e-22	9.76785e-07	0.00695216	2.25191e-06	4.11497e-07	0.0074651	1.9767e-07	0.00054893	1.77807e-07	1.66548e-07	0.00058943	0.0131661	0.00126552	0.000231251	0.0282751	2.04961e-07	7.49059e-08	0.00135889	6.58912e-16	0.000248313	0.0202753
26	7.15564e-15	0.0270772	0.339294	0.0121781	5.96249e-11	0.538747	4.93202e-17	0.000373258	0.00397361	0.000167875	5.22889e-05	0.00630948	7.55356e-05	0.00160826	6.79453e-05	2.11632e-05	0.00255368	0.0100763	0.000723327	0.000225298	0.0319992	1.52794e-05	9.5183e-06	0.00114853	2.2247e-13	0.000357739	0.0229457
27	8.48569e-25	3.17073e-07	0.576797	5.02796e-06	1.33936e-12	0.356035	5.84875e-27	4.37085e-09	0.00707565	6.93103e-08	2.13767e-09	0.00436753	8.8452e-10	8.12238e-05	7.95638e-10	8.65192e-10	5.01364e-05	0.0171296	0.001288	3.97245e-05	0.0211469	6.30838e-09	3.89126e-10	0.000795034	4.99738e-15	2.45204e-05	0.0151638
28	3.59378e-17	0.969123	4.27902e-05	9.66069e-05	6.34242e-09	2.29944e-05	2.47701e-19	0.0133593	1.29195e-06	1.33172e-06	0.00462015	6.94263e-07	0.00270351	0.00235921	0.00243184	0.00186994	0.00126778	1.27077e-06	2.35177e-07	0.000815899	1.36577e-06	1.21209e-07	0.000841018	1.26379e-07	2.36646e-11	0.000438445	9.79352e-07
29	1.06333e-25	1.42202e-07	0.472723	1.81294e-06	6.17649e-17	0.461996	7.32897e-28	1.96026e-09	0.00172585	2.49914e-08	1.62536e-09	0.00168669	3.96694e-10	2.46419e-05	3.56831e-10	6.57842e-10	2.40828e-05	0.0140388	0.000314161	2.0432e-05	0.0274405	2.27463e-09	2.95869e-10	0.000307032	2.30455e-19	1.99684e-05	0.0196768
30	8.62311e-27	5.31505e-09	0.167784	8.47967e-08	1.03735e-14	0.733892	5.94347e-29	7.32678e-11	0.00286779	1.16892e-09	4.20225e-11	0.0125438	1.48271e-11	3.27209e-05	1.33371e-11	1.7008e-11	0.000143122	0.00498281	0.000522032	1.8767e-05	0.0435899	1.06391e-10	7.64947e-12	0.00228339	3.87052e-17	8.20873e-05	0.0312571
